gene,beta_sex_M_vs_F_mixed,pval_sex_M_vs_F_mixed,qval_sex_M_vs_F_mixed
TAF4,0.00539389099869771,0.9480611765485389,0.993562728988968
LSM14B,0.04202891038790907,0.5198073085278266,0.9236196317701569
PSMA7,0.03339513281593662,0.5331670968628487,0.9258026718299792
SS18L1,-0.16706405342801897,0.15973920808401942,0.7327005792775285
MTG2,0.02882168028464794,0.7334218065293674,0.9653806976951429
OSBPL2,-0.07733335622343082,0.3065380906880769,0.842994572713037
ADRM1,-0.028387637456797284,0.5687957259250082,0.9348537249560984
AL121832.2,0.01818196480163038,0.8634779368544321,0.9835873084270998
RPS21,-0.03238207032677905,0.7928730079660676,0.9745027857391245
CABLES2,-0.09152310048991757,0.1566837149719926,0.7283839015294422
BX640514.2,-0.007633658588986607,0.9651125278914507,0.996384799374303
SLCO4A1,-0.26732843241004145,0.004949546853533674,0.25994941510523084
MRGBP,0.03936570143427132,0.6035651863969886,0.9428527178527144
OGFR,-0.0997039672784781,0.3174859919961125,0.8447828760086475
TCFL5,0.015333661288072488,0.8952544906117735,0.9857793539305576
DIDO1,-0.056711475072409416,0.5406049196823136,0.9285567498408388
GID8,-0.04788218854180298,0.47904101021554835,0.9154747889526302
SLC17A9,-0.016441045217913626,0.8570273859329377,0.9835045047101735
YTHDF1,-0.033081595122814465,0.5789612696641373,0.9358271133371834
ARFGAP1,0.02367454547724569,0.7550712814020608,0.9677013413100319
PPDPF,0.07443488530009836,0.3944145571570219,0.8799859514452436
HELZ2,0.09607814031006814,0.3823663868390895,0.8739195233542699
GMEB2,-0.09114488566113896,0.18821614659328656,0.7584961385126745
MHENCR,0.01259763001884366,0.8770028730393185,0.9852699108671342
STMN3,-0.12330506393615444,0.3023925155453294,0.8415111422264349
RTEL1,0.1561440269043197,0.015197818868620252,0.3959510486736005
ARFRP1,0.14206139038932564,0.12984567265927435,0.6977293859705628
ZGPAT,0.058674694526084495,0.3573150278840741,0.8637477566141407
LIME1,-0.08242851145648301,0.2983040360333985,0.8409079410991848
SLC2A4RG,0.008987116126737454,0.8890022234856624,0.9856950456667515
ZBTB46,-0.030723921878033047,0.7534623049505417,0.9677013413100319
AL118506.1,-0.008290795110086359,0.9116958694217702,0.9867554549145485
TPD52L2,0.032346810638402654,0.6385089614185648,0.9505665191223948
DNAJC5,-0.13888855596158417,0.12527226526628957,0.6924196563519339
UCKL1,0.0010458863256666909,0.9891527666326017,0.9985159188138552
UCKL1-AS1,-0.14309432655633217,0.19436371460816182,0.7617730256913802
ZNF512B,0.04962681738293794,0.6432562275106448,0.9510740845429746
SAMD10,-0.016985783907833524,0.8646996190060667,0.9835873084270998
PRPF6,0.0397764355535257,0.45525869526190255,0.9031102054905521
SOX18,-0.03717822417882251,0.8853276977366333,0.9856950456667515
TCEA2,-0.07009879126494992,0.3334489969953254,0.8489800066741303
RGS19,-0.21823203624316695,0.04836881368100698,0.5634798673262512
OPRL1,-0.023665256371361378,0.8083955101137428,0.976222934920792
LKAAEAR1,-0.07223383494186045,0.667682026556054,0.9541081826765851
PCMTD2,-0.008604986859798297,0.9303378864188304,0.9900415266348352
GATD3B,-0.06522269197573971,0.6456588328170711,0.9510740845429746
FP565260.6,-0.07698612023005047,0.43405018883924795,0.8985779086040038
U2AF1L5,-0.22929681263625862,0.6315110034402083,0.9499929855216132
CU638689.4,-0.1449585034949459,0.22067098581900413,0.784117099888605
AP001347.1,-0.12212063444840005,0.27187099102464674,0.8267951668683822
HSPA13,-0.07559631464832046,0.4131160617528905,0.8893284120526197
SAMSN1,0.09719206427836434,0.3819469470261839,0.8737711966172204
LINC02246,-0.12217627844034586,0.1964309872867812,0.7648891992244782
NRIP1,-0.11504584271346048,0.22992851280410975,0.7891969174613758
AJ009632.2,0.05936350795236136,0.695919101942063,0.9595046660510967
USP25,0.02780374437292914,0.7049879856330412,0.9615127142380651
MIR99AHG,0.18832879928219184,0.07968556334063788,0.6328020788815766
CXADR,0.14207511209874688,0.38606449642799934,0.8765297349154522
BTG3,0.004051032045866459,0.9634839405953329,0.996384799374303
C21orf91,-0.10988568976092952,0.3615969351246354,0.8666670475144059
LINC02573,0.25185785488987084,0.13534419866793207,0.7069476341436519
LINC01684,-0.07780592239176555,0.3749166414409737,0.8716187876361794
MIR155HG,-0.17547382426171745,0.22941042297836867,0.7891969174613758
MRPL39,0.07726665620444122,0.4983164494862016,0.9209414737534525
JAM2,0.03537734795012402,0.7669986575345644,0.9687517747133564
ATP5PF,0.029251478388151907,0.5143677210908131,0.9226011678882428
GABPA,-0.03489937020566868,0.5301582580637686,0.925603524357907
APP,-0.19298396039720025,0.0962229258041686,0.6577751822490284
CYYR1,0.024163411958689623,0.8589033055400818,0.9835308807564207
N6AMT1,0.14539542261394933,0.21043703171850547,0.7785417397566603
LTN1,0.0490128521481266,0.45116774461543285,0.9021673445651227
RWDD2B,0.08296424094583417,0.34138422737067176,0.8541785040961788
USP16,-0.0339220853364832,0.5188994520879842,0.9236196317701569
CCT8,-0.05593292780187514,0.34899394473220524,0.8591768710064613
BACH1,-0.04165986769093086,0.6184482172715621,0.9464238756756463
AP000240.1,-0.1579440975455972,0.32027904132427454,0.8447828760086475
TIAM1,-0.12063480394115125,0.3340070157169557,0.8489800066741303
AP000251.1,0.06159104875544558,0.526521569506299,0.9255750090698822
SOD1,0.10011078765641118,0.12837319628000696,0.6957657196075161
SCAF4,-0.06707283171716026,0.19580758083615968,0.7639483999257533
MIS18A,0.14753818780511882,0.04250509193550094,0.5409181651599567
URB1,0.13611948648930924,0.08257950814966565,0.6378080929194658
URB1-AS1,-0.010015531495200644,0.8799140979312207,0.9856950456667515
EVA1C,0.10260379306238565,0.1804280105360213,0.7537783724707738
CFAP298,0.09617773888118679,0.055140228157493615,0.5885641459101412
SYNJ1,-0.05109153999728197,0.5861815931893368,0.9382505931979582
PAXBP1-AS1,0.007156822304751453,0.9360756764847327,0.9911530300123382
PAXBP1,0.010481943406920846,0.9288125143452166,0.9897727535163596
C21orf62-AS1,-0.05040476181544871,0.6447558198814403,0.9510740845429746
IFNAR2,-0.10974408646410702,0.18293970244865054,0.7566363876284243
IL10RB-DT,-0.24448849376810441,0.0515189077480601,0.5742539387708466
IL10RB,-0.2565361048293306,0.03296224077578093,0.5031779200316732
IFNAR1,0.03531758336365932,0.6380063112643084,0.9505665191223948
IFNGR2,-0.14835741094254568,0.149341736207385,0.7218911171310228
TMEM50B,-0.004394814877792328,0.9562731777304884,0.9944760259869103
DNAJC28,-0.04693447825824183,0.543535210820055,0.9286467000560216
GART,0.0976924658100644,0.10445463967968542,0.6726402593762069
SON,-0.025324009334676326,0.7232725920277011,0.964479341575951
DONSON,0.06749743573124307,0.27755975068130534,0.8303062956144657
CRYZL1,-0.04718251893045999,0.37578268425525196,0.8716235236800315
ITSN1,-0.2750640391835976,0.016663906830808005,0.4084200127884147
ATP5PO,0.03631844013549678,0.5056778751934092,0.9209414737534525
LINC00649,0.17463707090296057,0.08947040087034709,0.6474252353849337
MRPS6,0.07112148080729755,0.32580989537013716,0.8454467986545229
SLC5A3,0.012794716185504026,0.874428138758643,0.9848816962803643
RCAN1,0.06609056663950125,0.44839065164990366,0.9013745310474321
RUNX1,-0.2113184199069636,0.011882808344059288,0.3624485691017368
SETD4,0.012987447675525714,0.7966313775354085,0.9747866644253054
CBR1,0.13228216824977623,0.24842372024020842,0.8059990984688872
CBR3-AS1,-0.09115841305881235,0.3922701582889423,0.8784581525536374
CBR3,-0.05553916634175109,0.6099825648278988,0.9436866153423603
