gene,beta_sex_M_vs_F,pval_sex_M_vs_F,qval_sex_M_vs_F
ZNF772,0.1411492709583075,0.14040893012530709,0.5760186221376948
ZNF419,-0.12171198315036978,0.13717535632240915,0.5725797008805172
ZNF773,-0.015096143094851994,0.8446907220480906,0.962725096805336
ZNF549,-0.07333358292036413,0.31354642540624583,0.7398684363095872
ZNF550,0.10216410444853251,0.12699089187655202,0.5595377646065388
ZNF416,0.055417456268819866,0.3074847848500684,0.7336538505272305
ZIK1,-0.035977216551557965,0.6046162348738964,0.8890585677583417
ZNF530,0.016057541971302134,0.7882167930773923,0.9468043809032004
ZNF134,0.005118782357322532,0.9154319594698934,0.9784122590070663
ZNF211,-0.06139534755529364,0.4095516148165598,0.8031349275595084
ZNF551,0.06090381030164857,0.3283300156552468,0.7477200597891567
ZNF154,-0.11000632963401238,0.17511903306502458,0.6196175029184346
ZNF671,-0.021814288997545346,0.7808053357556803,0.9452760767078
ZNF776,-0.0009080687397542454,0.985995844790317,0.9972130975102086
ZNF586,-0.11279795156802283,0.07317820568768167,0.4756215058988858
ZNF552,-0.007364356068233038,0.9273470404510467,0.9823536148629256
ZNF587B,0.07120652166902644,0.17998156027962114,0.6234433617406706
ZNF814,0.06006814404643958,0.3235405058006551,0.746318762530906
ZNF587,-0.017009416270397964,0.802477650118078,0.9508809087292144
ZNF417,-0.11339054085864429,0.1745862085472672,0.6190553798977836
ZNF418,0.020074074267999883,0.748471965530124,0.9368878787516947
ZNF256,0.00506600505774555,0.9472529097898973,0.9876345601433263
ZNF606,0.09006077440168052,0.2869512502558636,0.7151358968907193
AC008969.1,-0.25089371228926294,0.10980925222744527,0.5351381673352229
ZNF135,0.03508260577815636,0.6328439307278856,0.8984817933862949
ZSCAN18,0.00035061540845371386,0.9966107718053023,0.9989674899670512
ZNF329,-0.020359078270295157,0.7441126903227574,0.9351244646953853
ZNF274,0.1505684016136929,0.07443809266368628,0.47867429874880657
ZNF544,0.04453915310226203,0.506301661285077,0.8485831263861758
AC020915.2,-0.022979198652131032,0.7951273611829227,0.9485954161759782
ZNF8,0.09033006970897736,0.25849769270641254,0.6943694528787925
ERVK3-1,0.03848143624427845,0.36143875062488007,0.7706715401111697
AC010642.2,-0.06493594665001064,0.32707331402339457,0.7471182377311607
ZSCAN22,0.0013979899075252464,0.9848428181951572,0.9968561877151434
A1BG,-0.34123741068605684,0.0003966696609223105,0.0689866697165478
A1BG-AS1,-0.20026538142932618,0.005888093585988865,0.2196764100962786
ZNF837,0.007742132181113749,0.9124707633474815,0.9782520439838365
RPS5,0.00018498812071788238,0.9975717568470728,0.9989674899670512
ZNF584,0.07198148538812672,0.3823939452434235,0.7845863058815615
ZNF324B,0.11362020854412194,0.0756574464697658,0.4802252362781451
ZNF324,-0.01471934909765445,0.7949236991795784,0.9485954161759782
ZNF446,-0.016701788076285307,0.8096933428585145,0.9536970857586303
SLC27A5,0.16617335682628004,0.023993916312904876,0.3403895780467406
ZBTB45,-0.02172006128376953,0.6343742568220904,0.8984817933862949
TRIM28,-0.012983011614552308,0.76886666441842,0.9427252589386019
CHMP2A,-0.005203855730832265,0.9203711632688085,0.9803402420858556
UBE2M,0.06468215278135288,0.3115124616383433,0.7377310685713208
MZF1-AS1,0.1336548065423941,0.25057442495388904,0.688811309308907
MZF1,0.04617196929174418,0.3149360875330486,0.740278810262688
C20orf96,0.18570939463592184,0.0001083445443843534,0.025158743674935116
ZCCHC3,0.005802320242761153,0.9326744370725353,0.9840069764155677
NRSN2-AS1,0.027079251630661154,0.6539257690227049,0.9072737718899614
SOX12,-0.0981212135557978,0.2666437163605936,0.6980868318072846
NRSN2,0.0007850797975617572,0.9896051126913159,0.9975632647443469
TRIB3,-0.08689421855101348,0.3251750171712271,0.7465429612971195
RBCK1,0.05683306286356398,0.2125925593213754,0.6565239522697804
TBC1D20,-0.005984284479867673,0.9323103049906597,0.9840069764155677
CSNK2A1,0.06090465938685466,0.19668382620495756,0.6388483739015505
TCF15,-0.08493014359443937,0.4923342776062102,0.8425127201430417
SRXN1,-0.007100590281243506,0.9551205111933729,0.9903898408474555
FAM110A,0.01193142353020445,0.8804939425050926,0.9710465367888118
PSMF1,0.07977124683041449,0.15633736130275414,0.5991453878754434
SDCBP2-AS1,-0.10353278897291528,0.26867229969216694,0.6981453789018537
FKBP1A,0.010852253367164062,0.8578104587822719,0.9660494539642773
NSFL1C,0.058166033737369796,0.174828423244025,0.6190553798977836
SIRPB2,0.14433060621820198,0.1487676440288273,0.5883601983859917
SIRPB1,-0.369778790811104,0.009653374343293842,0.2576049653383816
AL117335.1,0.04841405540297204,0.5863832427274762,0.8827679336726559
SIRPA,-0.008371137575623846,0.9403580892617538,0.9856360434596683
STK35,-0.0009236967663952995,0.9890125131704892,0.9972915668451838
SNRPB,0.07338509257684962,0.0796687766750107,0.48625134364239436
ZNF343,0.008761770764506436,0.9002877612236866,0.9750245858457162
NOP56,0.06301291705344106,0.05171474207257589,0.4284103433334767
IDH3B,0.06463305529835132,0.09674706265192753,0.5145257475411286
CPXM1,-0.02511094705628377,0.7027898986293499,0.9224667033014173
PCED1A,-0.0560180837647881,0.43305851587241717,0.8158995187088793
VPS16,0.06565247585140989,0.361510258273559,0.7706715401111697
PTPRA,0.028873023384617603,0.6395227109607452,0.9009816500560323
MRPS26,0.10296103032414088,0.21480761280849392,0.6586040220368834
OXT,0.05018332818566061,0.580368066278497,0.8816947638562738
AVP,0.6172677574444889,0.00010157577891666657,0.024444672904381796
UBOX5,0.05262966738897909,0.4704891402051169,0.8343803265554944
FASTKD5,-0.05258122648975867,0.284016955412778,0.7117092809245608
LZTS3,-0.15974799395493866,0.08885374312481115,0.49981540905155347
DDRGK1,-0.10365329691284705,0.07704188484346254,0.48283817600317214
ITPA,0.18157051264165783,0.020568384877115622,0.32371360550951533
C20orf194,-0.12352470865491647,0.19283005497800818,0.6341114553264389
ATRN,0.08521893037236278,0.22189032987954868,0.6665406596979608
C20orf27,-0.01985537341937504,0.8407515184868609,0.9619312902305049
CENPB,-0.02450969688056867,0.788451562254484,0.9468778862976363
CDC25B,-0.06661252832710636,0.26943735909064076,0.6986542379730083
AP5S1,0.08722241657202481,0.23282089213990362,0.6742246776692107
MAVS,-0.0012767724881268968,0.9873507787327156,0.9972915668451838
AL353194.1,-0.029264271300600646,0.6950930721545583,0.9201222550454445
PANK2,0.034141523927775,0.41242420139773983,0.8050465826269921
RNF24,0.08034713840139135,0.2138843999463869,0.6574486571505752
SMOX,-0.17983343222868775,0.062064701979154,0.4520141217913518
PRNP,-0.037836282641404546,0.6180785511319129,0.8937930408371024
RASSF2,-0.3076073622307477,0.002905378715433037,0.1740072066853922
SLC23A2,-0.04513370953896488,0.5513437184377179,0.8673056688262184
